Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06888	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06927	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06889	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06889	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 2	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06912	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	Day 14	Basseng under rensing dag 14-1	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06913	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Sedimentation pool	NA	Day 14	Basseng under rensing dag 14-2	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06914	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des1	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06930	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des1	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06915	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des2	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06931	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Treated discharge	NA	Start	Utslipp renset vann - START des2	IPPD	<50	Water	16	16	0	NA	NA
