Provenr	Medium_id	Enhet_id	Coordites	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_me	Site_Category	Site_Comment	Season_Comment	Provetakmetode_id		Short	ABT	BTSA	MTBT	PhBT	OHBT	MBT	CPPD	6PPDq	DPPD	DNPD	IPPD	77PD	6PPD	7PPD	44PD	MTDID	NDPD	MPAMS	BPSE	PPPA	BOPA	TMMAT	DPG	TMQ	Amitryptyline	Fexofedine  	Indoxacarb	Fipronil	Cyhalothrin	OP	BPAE	TAI	TAOT	CTC_CTA	BCPS	isoTAC	TAC	4_4_ADP	TMBP	OH_BPA	BPS2	BIS_TMC	BP_8	4_HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12_PFECA	112_PFECA	1112_PFECA	11112_PFECA	13_PFECA	L6	L7	L8	L9	L10	LCCP
NR-2022-06957	Air	ng/m3				44756	Anders NILU	Private home	Private home																																						< 0.05	< 0.1	2	< 5																								
NR-2022-06958	Air	ng/m3				44812	Karl Espen NILU	Private home	Private home																																						< 0.05	< 0.1	51	< 5																			243	397	398	147	17	
NR-2022-06959	Air	ng/m3				44789	Marianne NILU 	Private home	Private home																																						< 0.05	< 0.1	6	< 5																			723	687	402	135	15	
NR-2022-06951	Air	ng/m3				44818	Deichman 3D lab	Commercial building	Print 3D																																						< 0.025	< 0.05	3	< 5																			376	611	427	253	15	
NR-2022-06952	Air	ng/m3				44873	Ciens 3D lab	Commercial building	Print 3D																																						< 0.025	< 0.05	1	< 5																								
NR-2022-06953	Air	ng/m3				44868	Nordic 3D lab	Commercial building	Print 3D																																																																	
NR-2022-06963	Air	ng/m3				44797	IKEA lager	Commercial building	Furniture store																																						< 0.05	< 0.1	2	< 5																			313	485	288	115	8	
NR-2022-06964	Air	ng/m3				44798	IKEA stue	Commercial building	Furniture store																																						< 0.05	< 0.1	2	< 5																			354	905	856	415	11	
NR-2022-06965	Air	ng/m3				44860	?rnes m?bler	Commercial building	Furniture store																																						< 0.05	< 0.1	2	< 5																			4603	2783	726	62	2	
NR-2022-07083	Biota	ng/g ww					Oslofjord	Recepient_Marine	Seal blubber																																						< 2	2	4	< 5																			< 10	< 20	< 100	< 200	< 10000	34
NR-2022-07084	Biota	ng/g ww					Oslofjord	Recepient_Marine	Seal blubber																																						< 2	2	< 0.5	< 5																			< 10	< 20	< 100	< 200	< 10000	73
NR-2022-07085	Biota	ng/g ww					Oslofjord	Recepient_Marine	Seal blubber																																						< 2	3	< 0.5	< 5																			< 10	24	< 100	< 200	< 10000	6
NR-2022-07080	Biota	ng/g ww					Oslofjord	Recepient_Marine	Seagull egg																																						< 0.5	< 0.25	0	< 2.5																			4	7	27	54	< 10000	18
NR-2022-07081	Biota	ng/g ww					Oslofjord	Recepient_Marine	Seagull egg																																						< 0.5	< 0.25	0	< 2.5																			5	10	35	72	< 10000	9
NR-2022-07082	Biota	ng/g ww					Oslofjord	Recepient_Marine	Seagull egg																																						< 0.5	< 0.25	< 0.25	< 2.5																			2	2	12	29	< 10000	17
NR-2022-07086	Biota	ng/g ww					Oslofjord	Recepient_Marine	Cod liver																																						< 0.5	< 0.25	< 0.25	< 2.5																			423	376	521	891	< 10000	25
NR-2022-07087	Biota	ng/g ww					Oslofjord	Recepient_Marine	Cod liver																																						< 0.5	< 0.25	< 0.25	< 2.5																			15	25	42	56	< 10000	118
NR-2022-07088	Biota	ng/g ww					Oslofjord	Recepient_Marine	Cod liver																																																																	42
NR-2022-06889x	Sludge	ng/g	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	V?lerengatunnelen slam fra basseng 1																																										2.8	19.8	<0.1	<0.2	0.7	1.2	6																	
NR-2022-06942	Air	ng/m3				44830	Bekkelaget	Wastewater treatment plant	High treatment	Summer																																																2302.57	<300	<210	929.68	<600	<330											
NR-2022-06943	Air	ng/m3				44831	Bekkelaget	Wastewater treatment plant	High treatment	Autumn																																																<300	<300	<210	<130	<600	<330											
NR-2022-06944	Air	ng/m3				44832	Bekkelaget	Wastewater treatment plant	High treatment	Summer																																																<300	<300	<210	<130	<600	<330											
NR-2022-06945	Air	ng/m3				44833	Bekkelaget	Wastewater treatment plant	High treatment	Autumn																																																2322.09	11526.8	<210	<130	<600	<330											
